data,af_revenue,adapter,country,af_id
2021-08-22,0.018,AdMobAdapter,US,1629581943531-7664376587104308425
2021-08-22,0.022,AdMobAdapter,US,1629581943531-7664376587104308425
2021-08-22,0,AdMobAdapter,ID,1629635134100-619564868830707407
2021-08-22,0,AdMobAdapter,ID,1629635134100-619564868830707407
2021-08-22,0,AdMobAdapter,ID,1629635134100-619564868830707407
2021-08-22,0,AdMobAdapter,ID,1629635134100-619564868830707407
2021-08-22,0,AdMobAdapter,ID,1629635134100-619564868830707407
2021-08-22,0,AdMobAdapter,ID,1629635134100-619564868830707407
2021-08-22,0,AdMobAdapter,ID,1629635134100-619564868830707407
2021-08-22,0.000921,UnityAdapter,ID,1629635134100-619564868830707407
2021-08-22,0.003,AdMobAdapter,TH,1629640526699-7888129708409616979
2021-08-22,0.000441,VungleAdapter,ID,1629635134100-619564868830707407
2021-08-22,0.000441,VungleAdapter,ID,1629635134100-619564868830707407
2021-08-22,0.002859,UnityAdapter,ID,1629635134100-619564868830707407
2021-08-22,0,AdMobAdapter,ID,1629635134100-619564868830707407
2021-08-22,0.011,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.011,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.021,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.035,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.043,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.051,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.051,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.053,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.052,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.034,AdMobAdapter,US,1629372798730-6258593839976899519
2021-08-22,0.040422,UnityAdapter,US,1629372798730-6258593839976899519
2021-08-22,0.004,AdMobAdapter,ID,1629536753861-3503814020402275663
2021-08-22,0.006,FacebookMediationAdapter,ID,1629536753861-3503814020402275663
2021-08-22,0.004,AdMobAdapter,ID,1629536753861-3503814020402275663
2021-08-22,0.007,AdMobAdapter,ID,1629536753861-3503814020402275663
2021-08-22,0.007,AdMobAdapter,ID,1629536753861-3503814020402275663
2021-08-22,0.001,ApplovinAdapter,ID,1629622886683-5585758852634865227
2021-08-22,0.000514,VungleAdapter,ID,1629622886683-5585758852634865227
2021-08-22,0.012,FacebookMediationAdapter,ID,1629461343701-7212671194810534191
2021-08-22,0.015,FacebookMediationAdapter,ID,1629461343701-7212671194810534191
